"","namePlayer","pred_gmsc_22","Value_ESPN","Value_DYN","Price","Value_Mean","isPG","isSG_SF","isPF_C"
"126","Jae Crowder",445.280170000864,1,0,0,1,0,0,0
"127","Al Horford",439.533780382666,2,0,0,1,0,0,0
"128","Gary Trent Jr.",417.03634803272,1,0,0,1,0,0,0
"129","Blake Griffin",414.100579175131,1,0,0,1,0,0,0
"130","Reggie Jackson",413.793082491103,1,0,4,2,1,0,0
"131","Ricky Rubio",400.260964316069,1,0,0,1,0,0,0
"132","Nickeil Alexander-Walker",398.35356509793,2,0,0,1,0,0,0
"133","Carmelo Anthony",380.232527448786,1,0,0,1,0,0,0
"134","Seth Curry",378.852860454431,1,0,0,1,0,0,0
"135","Chris Boucher",372.36496760205,4,4,4,4,0,0,1
"136","Jordan Poole",359.739523067337,1,0,0,1,0,0,0
"137","Killian Hayes",352.699456952417,1,0,0,1,0,0,0
"138","LaMarcus Aldridge",350.880224220373,1,0,0,1,0,0,0
"139","Daniel Gafford",333.740455612169,0,4,4,3,0,0,1
"140","Mitchell Robinson",330.292352707108,1,4,4,3,0,0,1
"141","Alex Caruso",302.516688396532,1,0,0,1,0,0,0
"142","Mo Bamba",290.746820189208,1,0,0,1,0,0,0
"143","Spencer Dinwiddie",278.645033119836,5,4,5,5,1,1,0
"144","Robert Williams III",271.347181865123,7,5,5,6,0,0,1
"145","Hassan Whiteside",237.821167895373,1,0,0,1,0,0,0
"146","Myles Turner",-160.598309902448,4,5,4,5,0,0,1
