"#","Player","FG","FGA","FT","FTA","PTS","ORB","DRB","AST","STL","BLK","TO","PF","Value"
"81","Gary Trent                             (TOR - SG,SF)","5.2","12.4","1.2","1.5","14.3",".6","2.3","1.3","1.0",".2",".7","1.6","$4"
"82","Marcus Smart                             (BOS - PG,SG)                              (Out)","4.3","11.4","2.5","3.2","13.0",".8","2.6","5.8","1.5",".5","2.0","2.8","$4"
"83","Devonte' Graham                             (NO - PG,SG)","4.7","12.4","2.4","2.9","14.7",".5","2.5","5.7",".9",".2","1.9","1.6","$4"
"84","Kyle Anderson                             (MEM - SF,PF)                              (Out)","4.3","8.8","1.8","2.4","11.0",".9","4.7","3.3","1.2",".8","1.3","1.9","$4"
"85","Tim Hardaway                             (DAL - SG,SF)","5.8","13.6","2.5","3.0","16.7",".4","2.9","1.9",".5",".1","1.0","1.7","$4"
"86","Bogdan Bogdanovic                             (ATL - SG,SF)","5.5","12.4","1.5","1.8","14.8",".5","3.0","3.3","1.1",".2","1.4","2.3","$4"
"87","Kelly Oubre                             (CHA - SF,PF)                              (Day To Day)","4.6","10.6","2.2","2.9","12.8","1.0","3.8","1.1",".9",".7","1.2","2.7","$4"
"88","Montrezl Harrell                             (WSH - C,PF)","4.9","8.0","2.2","3.4","12.0","1.9","3.4","1.2",".6",".7","1.1","2.1","$4"
"89","Draymond Green                             (GS - PF)                              (Out)","2.6","5.9","1.3","1.8","7.2","1.0","5.8","8.0","1.6",".9","2.9","2.8","$4"
"90","Patrick Williams                             (CHI - PF,SF)                              (Day To Day)","4.1","8.4","1.4","2.0","10.4","1.0","3.9","1.6","1.0",".7","1.5","2.0","$4"
"91","De'Andre Hunter                             (ATL - SF,PF)                              (Day To Day)","5.0","11.8","2.3","2.9","14.1",".7","4.1","1.8",".8",".4","1.3","2.8","$4"
"92","Eric Bledsoe                             (LAC - PG,SG)","4.7","10.3","2.6","3.3","13.3",".6","2.8","3.9",".8",".3","1.9","2.0","$4"
"93","Marvin Bagley                             (SAC - PF)                              (Day To Day)","5.4","10.9","2.3","3.4","13.7","2.4","4.7","1.0",".5",".6","1.4","2.3","$4"
"94","Dillon Brooks                             (MEM - SG,SF)                              (Out)","6.3","15.0","2.3","3.0","16.9",".8","2.4","2.2","1.0",".4","1.7","3.4","$4"
"95","Evan Fournier                             (NY - SG,SF)","5.5","12.1","2.3","2.8","15.3",".5","2.9","2.9","1.1",".4","1.8","2.7","$4"
"96","Steven Adams                             (MEM - C)                              (Out)","3.7","6.1","1.4","2.5","8.7","4.1","4.9","1.8",".9",".8","1.3","2.2","$4"
"97","Brandon Clarke                             (MEM - PF,C)","4.2","7.3","1.2","1.7","9.9","1.5","4.0","1.4",".8",".8",".7","1.4","$4"
